date,EUR,GBP,GEL
2019-04-05,0.89151,0.7681,2.6903
2019-04-07,0.89027,0.76699,2.6903
2019-04-08,0.88746,0.765575,2.6903
2019-04-09,0.88709,0.76716,2.6893
2019-04-10,0.88693,0.76257,2.6893
2019-04-11,0.88792,0.764915,2.6912
2019-04-12,0.885225,0.76437,2.696
2019-04-13,0.8868,0.764385,2.6953
2019-04-14,0.88343,0.76435,2.6953
2019-04-15,0.884405,0.762865,2.6953
2019-04-16,0.88636,0.766575,2.6916
2019-04-17,0.885275,0.7673,2.6906
2019-04-18,0.890194,0.7697,2.6931
2019-04-19,0.8893,0.76925,2.6939
2019-04-20,0.889165,0.76947,2.6935
2019-04-21,0.889165,0.76947,2.6935
2019-04-22,0.8882,0.7704,2.6935
2019-04-23,0.89177,0.7725,2.6975
2019-04-24,0.89575,0.77353,2.6981
2019-04-25,0.8982,0.7749,2.6984
2019-04-26,0.89593,0.773,2.7007
2019-04-27,0.89578,0.77426,2.7007
2019-04-28,0.89578,0.77426,2.7007
2019-04-29,0.89433,0.773365,2.7007
2019-04-30,0.8916,0.76673,2.7007
2019-05-01,0.88947,0.76451,2.7029
2019-05-02,0.8944,0.76755,2.7044
2019-05-03,0.893,0.76045,2.7051
2019-05-04,0.89194,0.75913,2.707
2019-05-05,0.89194,0.75913,2.707
2019-05-06,0.8928,0.76367,2.707
2019-05-07,0.8949,0.76628,2.7083
2019-05-08,0.89365,0.76898,2.7248
2019-05-09,0.8913,0.7679,2.7384
2019-05-10,0.8898,0.767695,2.7384
2019-05-11,0.890035,0.76947,2.74
2019-05-12,0.890035,0.76947,2.74
2019-05-13,0.89001,0.772215,2.74
2019-05-14,0.89193,0.7738,2.7435
2019-05-15,0.89252,0.777535,2.7422
2019-05-16,0.89446,0.78128,2.7425
2019-05-17,0.89565,0.78538,2.7426
2019-05-18,0.89546,0.78629,2.7424
2019-05-19,0.89546,0.78629,2.7424
2019-05-20,0.89534,0.78602,2.7424
2019-05-21,0.89598,0.78548,2.747
2019-05-22,0.89634,0.78925,2.7676
2019-05-23,0.89453,0.7891,2.7756
2019-05-24,0.89247,0.78677,2.7799
2019-05-25,0.89234,0.786505,2.7802
2019-05-26,0.89234,0.786595,2.7802
2019-05-27,0.89356,0.7887,2.7802
2019-05-28,0.89568,0.7897,2.7811
2019-05-29,0.8981,0.79254,2.7876
2019-05-30,0.8978,0.79275,2.7997
2019-05-31,0.896,0.7918,2.8023
2019-06-01,0.89298,0.791265,2.787
2019-06-02,0.89298,0.79142,2.787
2019-06-03,0.891702,0.79129,2.787
2019-06-04,0.8893,0.7884,2.7793
2019-06-05,0.89025,0.788145,2.7648
2019-06-06,0.88519,0.78691,2.75
2019-06-07,0.881845,0.784655,2.7411
2019-06-08,0.881715,0.78493,2.7344
2019-06-09,0.881715,0.78493,2.7344
2019-06-10,0.883785,0.788215,2.7344
2019-06-11,0.88261,0.7858,2.7348
2019-06-12,0.885725,0.7885,2.7347
2019-06-13,0.88681,0.78868,2.7342
